loss,custom_accuracy,val_loss,val_custom_accuracy
0.525738537311554,0.6831203103065491,0.6362711787223816,0.6682565212249756
0.5222571492195129,0.6862869262695312,0.6192310452461243,0.6756806969642639
0.5212694406509399,0.6874505281448364,0.6473857164382935,0.6838139891624451
0.5206950902938843,0.6880043148994446,0.6538643836975098,0.6771206855773926
0.5202829837799072,0.6884189248085022,0.6530977487564087,0.6835309267044067
0.5199560523033142,0.688720166683197,0.6246194839477539,0.6815969347953796
0.5197169780731201,0.6891850829124451,0.7071611881256104,0.6730930209159851
0.5186939239501953,0.6901963949203491,0.7107621431350708,0.6769288778305054
0.5185186266899109,0.6904274821281433,0.7051034569740295,0.6805113554000854
0.5184573531150818,0.6903859972953796,0.7749611735343933,0.682662844657898
0.5183429718017578,0.6905194520950317,0.7203460335731506,0.6675757169723511
0.5182417631149292,0.6906489729881287,0.7060321569442749,0.6677191257476807
